Wildlife,WT,PE,NU,RED,arrest_district,Year,Season,Volume
Leopard,0,1,0,VU,Lalitpur,2011,Spring ,1
Leopard,0,1,0,VU,Kavre,2011,Spring ,1
Leopard,4.5,1,0,VU,Tanahun,2011,Summer ,5.5
Leopard,0,2,0,VU,Kathmandu,2012,Winter,2
Leopard,0,1,0,VU,Kathmandu,2012,Winter,1
Leopard,0,2,0,VU,Kavre,2012,Spring ,2
Leopard,0,2,0,VU,Lalitpur,2012,Summer ,2
Leopard,0,1,0,VU,Sunsari,2013,Winter,1
Leopard,0,1,0,VU,Kathmandu,2013,Spring ,1
Leopard,0,1,0,VU,Bhaktapur,2013,Spring ,1
Leopard,0,1,0,VU,Kathmandu,2013,Spring ,1
Leopard,0,1,0,VU,Kavre,2013,Spring ,1
Leopard,0,1,0,VU,Surkhet,2013,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2014,Spring ,1
Leopard,1.5,1,0,VU,Kavre,2014,Summer ,2.5
Leopard,0,1,0,VU,Lalitpur,2014,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2014,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2014,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2014,Summer ,1
Leopard,0,2,0,VU,Kathmandu,2014,Autumn ,2
Leopard,0,1,0,VU,Nuwakot,2014,Autumn ,1
Leopard,0,1,0,VU,Nuwakot,2014,Winter,1
Leopard,0,1,0,VU,Kathmandu,2015,Winter,1
Leopard,0,1,0,VU,Kathmandu,2015,Spring ,1
Leopard,0,1,0,VU,Kathmandu,2015,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2015,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2015,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2015,Autumn ,1
Leopard,6,4,1,VU,Darchula,2012,Autumn ,11
Leopard,0,5,0,VU,Darchula,2013,Spring ,5
Leopard,15,6,0,VU,Darchula,2015,Summer ,21
Leopard,0,2,0,VU,Tanahun,2013,Winter,2
Leopard,0,1,0,VU,Makwanpur,2012,Summer ,1
Leopard,0,82,1,VU,Makwanpur,2014,Spring ,83
Leopard,0,1,0,VU,Bhaktapur,2012,Spring ,1
Leopard,0,1,0,VU,Bhaktapur,2014,Autumn ,1
Leopard,2.2,0,0,VU,Bhaktapur,2015,Spring ,2.2
Leopard,4.8,1,0,VU,Gorkha,2012,Autumn ,5.8
Leopard,2.5,1,0,VU,Nawalparasi,2013,Summer ,3.5
Leopard,0,1,0,VU,Nawalparasi,2014,Spring ,1
Leopard,0,1,0,VU,Nawalparasi,2014,Spring ,1
Leopard,2.6,1,0,VU,Kailali,2013,Spring ,3.6
Leopard,1.4,1,0,VU,Kailali,2014,Autumn ,2.4
Leopard,0,1,0,VU,Kailali,2014,Winter,1
Leopard,10.735,1,0,VU,Kailali,2015,Winter,11.735
Leopard,2.3,1,0,VU,Kailali,2015,Summer ,3.3
Leopard,8,1,0,VU,Kailali,2015,Summer ,9
Leopard,0,1,0,VU,Lalitpur,2011,Spring ,1
Leopard,0,1,0,VU,Lalitpur,2013,Winter,1
Leopard,0,1,0,VU,Lalitpur,2014,Summer ,1
Leopard,1,0,0,VU,Kavre,2012,Summer ,1
leopard,0,1,0,VU,Kavre,2011,Spring ,1
Leopard,0,2,0,VU,Kavre,2012,Spring ,2
Leopard,0,1,0,VU,Kavre,2013,Spring ,1
Leopard,10.5,4,0,VU,Dadeldhura,2015,Spring ,14.5
Leopard,0,1,0,VU,Sindhupalchok,2011,Spring ,1
Leopard,0,1,0,VU,Solukhumbu,2012,Autumn ,1
Leopard,2.685,1,0,VU,Chitwan,2013,Winter,3.685
Leopard,4.8,1,0,VU,Baitadi,2015,Spring ,5.8
Leopard,0,140,0,VU,Dang,2014,Spring ,140
Leopard,0,5,0,VU,Dang,2014,Summer ,5
Leopard,0,2,0,VU,Dang,2015,Autumn ,2
Leopard,0,1,0,VU,Kathmandu,2014,Spring ,1
Leopard,0,1,0,VU,Kathmandu,2014,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2013,Autumn ,1
Leopard,0,1,0,VU,Kathmandu,2015,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2015,Autumn ,1
Leopard,0,1,0,VU,Kathmandu,2015,Autumn ,1
Leopard,0,1,0,VU,Surkhet,2013,Summer ,1
Leopard,0,16,0,VU,Surkhet,2013,Autumn ,16
Leopard,0,41,0,VU,Surkhet,2015,Spring ,41
Leopard,8.13,1,0,VU,Surkhet,2015,Winter,9.13
Leopard,0,1,0,VU,Dhading,2012,Winter,1
Leopard,0,1,0,VU,Dhading,2013,Spring ,1
Leopard,0,1,0,VU,Darchula,2014,Winter,1
Leopard,0,1,0,VU,Kanchanpur,2015,Spring ,1
Leopard,0,1,0,VU,Kathmandu,2012,Spring ,1
Leopard,0,0,1,VU,Doti,2012,Winter,1
Leopard,0,1,0,VU,Bhaktapur,2015,Winter,1
Leopard,0,2,0,VU,Nuwakot,2014,Winter,2
Leopard,0,2,0,VU,Bardiya,2014,Winter,2
Leopard,1.4,1,0,VU,Kailali,2014,Autumn ,2.4
Leopard,0,4,0,VU,Darchula,2012,Autumn ,4
Leopard,0,2,0,VU,Dhading,2013,Spring ,2
Leopard,4.8,1,0,VU,Baitadi,2015,Spring ,5.8
Leopard,0,0,2,VU,Siraha,2015,Spring ,2
Leopard,0,1,0,VU,Kathmandu,FALSE,FALSE,1
Leopard,0,2,0,VU,Dang,2015,Autumn ,2
Leopard,0,1,0,VU,Dolakha,2013,Winter,1
Leopard,0,1,0,VU,Dhading,2012,Winter,1
Leopard,0,1,0,VU,Kavre,2011,Spring ,1
Leopard,0,0,1,VU,Pyuthan,2011,Summer ,1
Leopard,0,1,0,VU,Kathmandu,2014,Spring ,1
Leopard,0,0,1,VU,Kathmandu,2014,Spring ,1
Leopard,0,1,0,VU,Nawalparasi,2014,Spring ,1
Leopard,0,1,0,VU,Lalitpur,FALSE,FALSE,1
Leopard,0,1,0,VU,Kathmandu,FALSE,FALSE,1
Leopard,0,2,0,VU,Kathmandu,2013,Summer ,2
Leopard,15,6,0,VU,Darchula,2012,Winter,21
Leopard,0,3,0,VU,Dang,2013,Summer ,3
Leopard,2.445,1,0,VU,Surkhet,2015,Spring ,3.445
Leopard,0,2,0,VU,Dolakha,2011,Summer ,2
